name,birthday,nationality
Leonardo DiCaprio,1974-11-11,USA
Tom Hanks,1956-07-09,USA
Meryl Streep,1949-06-22,USA
Morgan Freeman,1937-06-01,USA
Sandra Bullock,1964-07-26,USA
Robert De Niro,1943-08-17,USA
Brad Pitt,1963-12-18,USA
Johnny Depp,1963-06-09,USA
Keanu Reeves,1964-09-02,CAN
Ryan Reynolds,1976-10-23,CAN
Jim Carrey,1962-01-17,CAN
Rachel McAdams,1978-11-17,CAN
Fernanda Montenegro,1929-10-16,BR
Wagner Moura,1976-06-27,BR
Rodrigo Santoro,1975-08-22,BR
Taís Araújo,1978-11-25,BR
Selton Mello,1972-12-30,BR
Alice Braga,1983-04-15,BR
